epoch,acc,loss,lr,val_acc,val_loss
0,0.7763891582622188,0.4756931014838748,0.001,0.8386932479627474,0.3815388362919771
1,0.8347852444627785,0.3868345073952484,0.001,0.8527902151229432,0.34207256040415684
2,0.850953290295989,0.3527603481843969,0.001,0.8658949437610427,0.3111651591838094
3,0.8611075747905961,0.331462404505604,0.001,0.8777802045663562,0.29399979242221064
4,0.8718014003830064,0.3124947502922301,0.001,0.8751774598537502,0.30306924462745854
5,0.8783365160180752,0.29887675254347323,0.001,0.8720832878329732,0.3021829401369259
6,0.8958321966582498,0.2634264750380344,0.0003,0.9050089184980381,0.241208265185495
7,0.9009608681202441,0.25322026729959535,0.0003,0.9082122966058609,0.2317661345194887
8,0.9046345973118897,0.2452523265182222,0.0003,0.9102872119689854,0.2287137541179662
9,0.9063805280274915,0.23935512665897785,0.0003,0.8986931673270857,0.2483224559690993
10,0.9095025916133659,0.23388682163869914,0.0003,0.9150012740708383,0.21667424014173056
11,0.9109514716181677,0.2289183131174061,0.0003,0.9202795675309371,0.2056639223101836
12,0.9128671455851596,0.2254176683201566,0.0003,0.9144916457203148,0.21763876416170186
13,0.9142614652455686,0.22268532529106996,0.0003,0.9160387317556552,0.21145286777378722
14,0.9212027522668534,0.2067758232327114,9e-05,0.9215900403910585,0.20181111334248603
15,0.9228759358659929,0.20373966404933588,9e-05,0.9252666448102642,0.1912565323675075
16,0.9240459519309804,0.20119885700470802,9e-05,0.927650977379155,0.18861836937365084
17,0.9242884423060596,0.20024681712721026,9e-05,0.9267227257683655,0.1885082845376662
18,0.9241490103397657,0.1993588710550031,9e-05,0.9277783844803467,0.19006059549884236
19,0.9254523961080294,0.19793977831564555,9e-05,0.9253758508973099,0.19431668888475223
20,0.9281016034712257,0.19147174561354519,2.7e-05,0.9297258927444493,0.183388071769129
21,0.9283137825442258,0.1919135016565711,2.7e-05,0.9301627170470678,0.1825081157889257
22,0.9282046618785658,0.1899857158193461,2.7e-05,0.9294710785767816,0.18254509589233672
23,0.9286472068114502,0.18929742067792127,2.7e-05,0.9307997524510491,0.18170955512678222
24,0.9283137825442258,0.19003386411878326,2.7e-05,0.9308725565141421,0.18055459077918426
